model,dataset,weights,split,imgsz,nms_conf,nms_iou,max_det,prediction_scale_policy,scale,gt_instances,predictions,classes_with_gt,precision_at_max_f1,recall_at_max_f1,ap50,map50_95,metric_note
YOLO11n-960,VisDrone2019-DET,runs/detect/baseline_yolo11n_960_visdrone/weights/best.pt,val,960,0.001,0.7,300,same-bin,small,26586,110684,10,0.397092,0.289608,0.229995,0.116295,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLO11n-960,VisDrone2019-DET,runs/detect/baseline_yolo11n_960_visdrone/weights/best.pt,val,960,0.001,0.7,300,same-bin,medium,11105,40935,10,0.567132,0.483853,0.452575,0.309690,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLO11n-960,VisDrone2019-DET,runs/detect/baseline_yolo11n_960_visdrone/weights/best.pt,val,960,0.001,0.7,300,same-bin,large,1068,2604,10,0.678177,0.605901,0.577546,0.459221,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLO11n-P2-960,VisDrone2019-DET,runs/detect/yolo11n_p2_960_visdrone/weights/best.pt,val,960,0.001,0.7,300,same-bin,small,26586,121185,10,0.395206,0.304579,0.247659,0.131540,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLO11n-P2-960,VisDrone2019-DET,runs/detect/yolo11n_p2_960_visdrone/weights/best.pt,val,960,0.001,0.7,300,same-bin,medium,11105,34786,10,0.515552,0.486099,0.438392,0.300511,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLO11n-P2-960,VisDrone2019-DET,runs/detect/yolo11n_p2_960_visdrone/weights/best.pt,val,960,0.001,0.7,300,same-bin,large,1068,2519,10,0.432654,0.495443,0.456420,0.368950,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLO11n-P2-CA-960,VisDrone2019-DET,runs/detect/yolo11n_p2_coordatt_960_visdrone_full/weights/best.pt,val,960,0.001,0.7,300,same-bin,small,26586,121182,10,0.390469,0.298713,0.239473,0.126067,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLO11n-P2-CA-960,VisDrone2019-DET,runs/detect/yolo11n_p2_coordatt_960_visdrone_full/weights/best.pt,val,960,0.001,0.7,300,same-bin,medium,11105,34295,10,0.550433,0.475219,0.437633,0.301014,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLO11n-P2-CA-960,VisDrone2019-DET,runs/detect/yolo11n_p2_coordatt_960_visdrone_full/weights/best.pt,val,960,0.001,0.7,300,same-bin,large,1068,2505,10,0.435333,0.453386,0.419437,0.348353,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLOv8n-960,VisDrone2019-DET,runs/detect/baseline_yolov8n_960_visdrone/weights/best.pt,val,960,0.001,0.7,300,same-bin,small,26586,112526,10,0.409156,0.287687,0.237713,0.122135,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLOv8n-960,VisDrone2019-DET,runs/detect/baseline_yolov8n_960_visdrone/weights/best.pt,val,960,0.001,0.7,300,same-bin,medium,11105,39333,10,0.566159,0.482063,0.458661,0.312593,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLOv8n-960,VisDrone2019-DET,runs/detect/baseline_yolov8n_960_visdrone/weights/best.pt,val,960,0.001,0.7,300,same-bin,large,1068,2629,10,0.477689,0.598356,0.527895,0.440485,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLO11s-960,VisDrone2019-DET,runs/detect/baseline_yolo11s_960_visdrone/weights/best.pt,val,960,0.001,0.7,300,same-bin,small,26586,108956,10,0.447847,0.350165,0.302540,0.159421,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLO11s-960,VisDrone2019-DET,runs/detect/baseline_yolo11s_960_visdrone/weights/best.pt,val,960,0.001,0.7,300,same-bin,medium,11105,37106,10,0.619451,0.546771,0.523793,0.367342,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLO11s-960,VisDrone2019-DET,runs/detect/baseline_yolo11s_960_visdrone/weights/best.pt,val,960,0.001,0.7,300,same-bin,large,1068,2048,10,0.567156,0.588328,0.561819,0.472914,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLO11n-P2-TOFC-960,VisDrone2019-DET,runs/detect/yolo11n_p2_tofc_960_visdrone/weights/best.pt,val,960,0.001,0.7,300,same-bin,small,26586,121183,10,0.367012,0.295022,0.229853,0.120661,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLO11n-P2-TOFC-960,VisDrone2019-DET,runs/detect/yolo11n_p2_tofc_960_visdrone/weights/best.pt,val,960,0.001,0.7,300,same-bin,medium,11105,34051,10,0.526254,0.463441,0.424698,0.287858,Local scale-bin AP; not official COCO/VisDrone AP_small.
YOLO11n-P2-TOFC-960,VisDrone2019-DET,runs/detect/yolo11n_p2_tofc_960_visdrone/weights/best.pt,val,960,0.001,0.7,300,same-bin,large,1068,2196,10,0.396151,0.478847,0.421751,0.334091,Local scale-bin AP; not official COCO/VisDrone AP_small.
