model,status,run_dir,layers,parameters,gflops,weight_size_mb,source
YOLOv8n baseline,completed,runs/detect/baseline_yolov8n_visdrone,130,3012798,8.2,5.95,runs/logs and weights/best.pt
YOLOv5n baseline,completed,runs/detect/baseline_yolov5n_visdrone,154,2510414,7.2,5.02,runs/logs and weights/best.pt
YOLOv8n baseline 960,completed,runs/detect/baseline_yolov8n_960_visdrone,130,3012798,8.2,5.99,runs/logs and weights/best.pt
YOLO11s baseline,completed,runs/detect/baseline_yolo11s_visdrone,182,9431662,21.6,18.28,runs/logs and weights/best.pt
YOLO11s baseline 960,completed,runs/detect/baseline_yolo11s_960_visdrone,182,9431662,21.6,18.32,runs/logs and weights/best.pt
YOLO11n baseline,completed,runs/detect/baseline_yolo11n_visdrone,182,2591790,6.5,5.21,runs/logs and weights/best.pt
YOLO11n baseline 960,completed,runs/detect/baseline_yolo11n_960_visdrone,182,2591790,6.5,5.25,runs/logs and weights/best.pt
YOLO11n-P2,completed,runs/detect/yolo11n_p2_pretrained_visdrone,217,2893672,10.7,5.91,runs/logs and weights/best.pt
YOLO11n-P2-960,completed,runs/detect/yolo11n_p2_960_visdrone,217,2893672,10.7,6.06,runs/logs and weights/best.pt
YOLO11n-P2-CoordAttention,completed,runs/detect/yolo11n_p2_coordatt_visdrone,233,2903704,10.7,5.94,runs/logs and weights/best.pt
YOLO11n-P2-CoordAttention-960,completed,runs/detect/yolo11n_p2_coordatt_960_visdrone_full,233,2903704,10.7,6.09,runs/logs and weights/best.pt
YOLO11n-P2-CoordAttention-SmallObjAug,completed,runs/detect/yolo11n_p2_coordatt_smallobj_aug_visdrone,233,2903704,10.7,5.94,runs/logs and weights/best.pt
